

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

156.568  003.292  003.292: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vimpeccable/plugin/vimp.vim
157.127  000.117  000.117: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vimtex/plugin/vimtex.vim
157.611  000.145  000.145: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/winshift.nvim/plugin/winshift.vim
157.934  019.446: loading packages
158.938  000.329  000.329: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/tabular/autoload/tabular.vim
160.441  002.283  001.954: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/tabular/after/plugin/TabularMaps.vim
161.160  000.099  000.099: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim/autoload/dracula.vim
161.175  000.494  000.395: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim/after/plugin/dracula.vim
161.557  000.846: loading after plugins
161.572  000.016: inits 3
165.126  003.553: reading ShaDa
166.443  000.446  000.446: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions.vim
167.240  000.210  000.210: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/quickfix.vim
167.752  000.093  000.093: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/netrw.vim
168.960  000.230  000.230: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/section.vim
169.703  000.308  000.308: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/highlighter.vim
169.947  001.813  001.275: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/term.vim
170.498  000.135  000.135: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/hunks.vim
170.956  000.082  000.082: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/tagbar.vim
171.478  000.071  000.071: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/csv.vim
172.034  000.084  000.084: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/nvimlsp.vim
172.486  000.079  000.079: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/coc.vim
173.045  000.143  000.143: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/whitespace.vim
173.553  000.073  000.073: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/neomake.vim
174.058  000.096  000.096: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/po.vim
174.544  000.117  000.117: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/wordcount.vim
175.096  000.176  000.176: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/tabline.vim
175.556  000.079  000.079: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/tabline/autoshow.vim
176.083  000.114  000.114: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/tabline/tabs.vim
176.625  000.167  000.167: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/tabline/buffers.vim
177.189  000.072  000.072: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/keymap.vim
178.489  000.854  000.854: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vimtex/autoload/vimtex.vim
178.983  000.147  000.147: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/vimtex.vim
179.476  000.084  000.084: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/searchcount.vim
193.892  000.099  000.099: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/themes.vim
194.216  000.828  000.729: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/themes/dark.vim
211.597  000.186  000.186: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/builder.vim
212.471  000.130  000.130: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/default.vim
251.584  080.177: opening buffers
